Entry,label_encoded
Q9NZP6,2
Q2M1P5,0
P50052,1
Q9UKP5,0
P10176,4
Q6ZMD2,4
O95479,0
Q8NGY2,1
Q5FYB0,0
Q8NH93,1
O95371,1
O00341,4
Q9H2C1,3
P07949,1
P56747,2
P47887,1
Q7Z2D5,0
P49450,2
P21462,1
P61421,4
Q04864,3
Q12889,0
Q15620,1
P53675,2
P68431,2
P46821,2
Q9BV94,0
Q96SK3,3
P41146,1
Q969S0,4
P03956,0
Q6VB84,3
Q9NX52,0
Q7RTU7,3
Q9HB58,3
Q9Y3Z3,0
Q9P1P5,1
Q13813,2
Q8NGN8,1
Q7RTZ1,0
D6RBQ6,0
P0DKX0,3
Q9Y5K8,4
Q6UVK1,1
P12318,1
Q96S79,0
P14543,2
Q76LX8,0
O75976,0
P29973,4
Q07617,0
O43812,3
Q9Y5N1,1
Q8NEL9,0
Q9P2F5,3
Q96RW7,2
Q6TGC4,2
O43186,3
Q9UK11,3
P41143,1
Q9H903,0
Q9NRY4,0
Q8IXT2,3
Q6PIW4,0
Q92536,4
Q8IXW5,0
Q03060,3
Q96Q89,0
Q96IY4,0
Q9NQ40,4
P62829,2
Q6NVV3,4
Q9UDY8,0
Q9NRX2,2
Q12800,3
Q14774,3
Q8TDG4,0
Q8NHL6,1
Q5TZ20,1
O43920,4
P56159,1
Q6P1J6,0
A8MXV4,0
P09958,0
O14529,3
Q9UHW9,4
Q6ZQN5,3
Q86WP2,3
Q86TJ5,3
Q8TDI7,4
O75346,3
Q96P56,4
Q14592,3
Q15031,0
Q96IZ2,0
P03952,0
Q9HCG1,3
Q9NP77,0
P29074,0
Q9NXZ2,0
O96006,3
Q9NZI7,3
O75015,1
Q7Z353,3
P35573,0
O43889,3
P31273,3
Q96PE1,1
Q9NQ33,3
Q9NZV1,1
P49736,0
Q8WW27,0
O60304,3
P13497,0
P67775,0
P09017,3
Q9H8N7,3
Q9P2U8,4
Q9Y5B8,0
P43686,0
P17014,3
O75820,3
Q15723,3
Q9C075,2
Q9C0D7,0
Q9NPI6,0
P09630,3
Q86UE6,1
P02686,2
Q03468,0
Q9NPC8,3
Q9NZM6,4
Q99878,2
Q9UMX9,4
P62745,0
P61586,0
B4DU55,3
Q8NB14,0
P20337,0
P58182,1
P62807,2
Q86SQ3,1
Q13459,0
Q8NGL2,1
P62070,0
Q8WU17,1
P56178,3
Q9NUJ7,0
Q13607,1
Q2T9K0,4
Q9UQE7,0
Q9Y5L3,0
Q9UGQ3,4
Q9UKJ8,0
Q96CW5,2
P0C6S8,1
Q9NTQ9,4
Q9Y678,2
P00746,0
O75030,3
P82930,2
P48549,4
Q8NG75,1
Q6FI13,2
P42892,0
P31249,3
P04070,0
Q92611,0
Q8NAG6,0
A0A286YEU6,1
P25105,1
P36383,4
Q9H2S1,4
Q9UKK9,0
Q8WZA6,1
P14651,3
P30968,1
P35658,2
Q86TP1,0
Q9GZR1,0
Q9H4L5,4
Q9HCE1,0
Q8NBI5,4
O15235,2
Q6ZMS7,3
Q96EL2,2
Q2M1K9,3
P09564,1
Q86WJ1,0
Q2M385,4
O15195,2
Q13387,2
P35498,4
Q70CQ2,0
Q8TDU5,1
O15496,0
Q8NHW5,2
O95168,4
P21506,3
Q969J2,3
Q96HA1,2
P41586,1
Q9H9S3,4
Q9H342,1
P22033,0
Q01650,4
A2A288,0
Q96MU8,1
P06733,3
P20333,1
Q9HBX8,1
P54315,0
Q6PG37,3
Q2M218,3
Q68J44,0
Q92499,0
Q9P0X4,4
Q70EL4,0
A8MWA4,3
Q8NBV4,0
Q9Y2Y8,2
Q13491,2
O14813,3
P33032,1
Q15849,4
Q9Y261,3
Q7RTS1,3
O95631,3
O00562,4
P10153,0
O60603,1
O95222,1
O75541,3
Q14416,1
Q9NQB0,3
Q9NZN1,0
O95935,3
Q99679,1
Q8N1Q8,0
A6NDG6,0
Q01892,3
Q5FYA8,0
Q8NBH2,0
Q8IYA7,3
Q8NH18,1
P98160,2
Q01167,3
Q8IZF2,1
Q969J5,1
Q99941,3
P21452,1
Q8IYD8,0
Q9H0R4,0
P78348,4
P20930,2
Q9UBD0,3
O15156,3
Q13351,3
P78413,3
Q8NDV2,1
P10914,3
Q14246,1
Q9UKR0,0
Q8TD94,3
P82663,2
O95785,3
Q8IU60,0
P26718,1
P40692,0
Q6B8I1,0
Q9UP95,4
O43506,0
Q8NGE1,1
Q9BVJ7,0
Q9H6F2,4
Q6QN14,0
Q5TAH2,4
Q92484,0
P57071,3
P05556,1
Q8WWI5,4
Q7Z3B4,2
Q9H4G0,2
P31930,4
Q8WWV6,1
O43677,4
Q9H3K2,4
Q9Y5X9,0
P0C7N8,1
Q96AP4,0
Q9H777,0
Q66K89,3
P51805,1
Q9UM01,4
Q02127,0
P07307,1
Q05D32,0
Q99788,1
P48741,0
Q92874,0
P16066,1
Q9UIF7,0
Q9UGF6,1
Q9NRW1,0
Q13637,0
O15554,4
Q9Y5Y7,1
Q9BRC7,0
P18627,1
Q9H0U3,4
O43296,3
A5LHX3,0
Q14114,1
Q8NH05,1
P54750,0
Q9HBU1,3
Q96T83,4
Q9NP99,1
P10114,0
Q562R1,2
Q8WU67,0
Q8NGS6,1
Q9P2J8,3
P0C5Z0,2
P60201,2
P04626,1
A6NM10,4
Q9BZF1,4
P0DTU4,1
P28907,0
P59534,1
P31645,4
P61019,0
Q15797,3
Q9HAP2,3
Q92626,2
Q8TDQ7,0
A0A1W2PR75,0
Q9GZX7,0
Q15124,2
Q969Q4,0
Q8NGY0,1
Q7Z443,4
Q9UBR2,0
Q8WWQ2,0
Q7Z404,4
Q9NU63,3
P11586,0
P82933,2
Q13507,4
P21860,1
P55771,3
Q7Z402,4
Q6IFH4,1
Q86V15,3
Q9Y286,1
Q6ZT21,0
Q58FF8,0
Q9Y4I1,0
P55072,0
Q8WVF1,4
Q8NGP0,1
Q96R47,1
Q5D1E8,0
P16150,1
Q99578,0
O14503,3
P19484,3
Q9NQR9,0
Q14191,0
O00398,1
P17481,3
Q86WA8,0
P48643,0
P24394,1
P09093,0
Q9NS28,0
O75367,2
Q9UHI5,4
Q7RTY8,0
Q14587,3
O15342,4
P35250,0
Q13683,1
O14548,4
Q96N22,3
P30050,2
Q8IZF7,1
Q9NTJ3,0
P32321,0
Q6ZSI9,0
O60404,1
A6NMB9,0
P50148,0
Q99715,2
P10074,3
P04198,3
Q9BZJ4,4
A6NFD8,3
Q92995,0
O43678,4
Q8TDW0,4
Q96FT7,4
Q9Y676,2
P40937,0
Q6ZQN7,4
Q12952,3
Q3I5F7,0
Q99490,0
A0A1B0GWH4,3
Q6DD87,3
Q9ULA0,0
Q8N8Y2,4
Q5XKE5,2
Q9HC16,0
Q5SGD2,0
P05981,0
P16104,2
Q8NH70,1
O94956,4
Q7Z2H8,4
Q8WZ94,1
Q8WYL5,0
P51159,0
Q8TE12,3
A6NL26,1
P22001,4
Q9UBS5,1
Q9H5H4,3
Q9NX57,0
P61916,4
Q6PJF5,4
Q03405,1
Q8NFV4,0
Q8NHW3,3
P54845,3
Q96E93,1
P12724,0
P50391,1
P33778,2
Q7Z410,0
Q5SVQ8,3
P23771,3
P61254,2
P0DPQ6,3
P50461,2
Q16825,0
Q8NG80,1
P84022,3
P49821,4
Q96DC9,0
P32969,2
Q9BV47,0
O95863,3
Q7Z418,4
Q03001,2
P43626,1
Q9P2U7,4
Q9BRR0,3
P50895,1
Q92817,2
Q14953,1
O43813,1
O15020,2
Q6UXL0,1
P19012,2
P17024,3
Q8NFI3,0
Q86V24,1
P46777,2
Q01664,3
Q86UD4,3
Q8IZD6,4
O94782,0
Q13868,0
O43908,1
Q14980,2
Q14032,0
Q9NXJ5,0
Q9BU20,0
P20338,0
Q8NGC0,1
P46778,2
Q96PD2,1
Q9UNI1,0
P16452,2
P42285,0
Q8NEJ0,0
Q01546,2
Q16281,4
Q8WXF7,0
P0DPD8,0
P28358,3
P05106,1
Q9UHP3,0
Q8TE56,0
Q9NZT2,1
A6NIR3,0
Q5VZB9,3
Q5HYM0,0
O95803,0
Q16538,1
Q9NQR4,0
Q86XX4,2
Q8IVL0,0
Q9BSW2,0
P26992,1
Q9HB89,1
Q9BZM2,0
Q8TCD5,0
Q9H7R0,3
P20142,0
Q9UKR3,0
P34972,1
P43657,1
Q9NZI5,3
Q96N58,3
Q2VYF4,4
Q14683,0
P78383,4
P55268,2
P47985,4
O00206,1
Q5K4E3,0
Q2I0M4,4
Q6ZN32,3
O14841,0
Q9UEF7,0
Q14588,3
Q9HCB6,2
Q5UAW9,1
Q14392,1
Q8NGY9,1
Q8NGQ6,1
Q5VUY2,0
Q08AM6,1
Q8NH09,1
A6NND4,1
Q8WZ84,1
Q8TCB6,1
P06899,2
P42658,0
Q8TDV5,1
P82914,2
Q9H0U4,0
Q9NVE7,0
P14859,3
P82251,4
Q8NGX5,1
Q9UHN6,0
Q8TD23,3
P48739,4
Q9BRH9,3
P02452,2
Q9UGC6,0
Q8WZ92,1
Q96G91,1
Q96LW9,3
P50539,3
Q96IT1,3
Q8NGU2,1
P48147,0
P36888,1
P29274,1
Q96T92,3
Q8NEM1,3
P25311,4
P43628,1
Q0VDG4,0
Q9H6P5,0
Q14832,1
Q9BXR5,1
Q6IFN5,1
P61106,0
Q7Z3Y8,2
P78386,2
P57073,3
Q6X4U4,1
O95259,4
A0A2R8YED5,1
P07339,0
Q96SE7,3
Q9HB75,0
Q9HCE9,4
P18846,3
Q9NY59,0
Q8NHY6,3
Q9HCK8,0
P49593,0
P09237,0
Q8WTU0,0
A6NGD5,3
Q8IY18,0
Q8N187,3
Q6NT32,0
Q8NHP8,0
P62857,2
P33681,1
Q01851,3
A6NF89,1
P30872,1
Q9Y2P0,3
Q9Y698,4
P67936,2
Q8NEY4,4
P60866,2
P0DMU2,1
Q9ULF5,4
P31994,1
Q9NXL9,0
O15529,1
Q9Y623,0
P18031,0
Q13572,0
P28340,0
P11150,0
O75792,0
P41212,3
Q96RP8,4
Q9UKF6,0
Q9BQ52,0
Q9NZC4,3
P04259,2
P55212,0
Q6AZW8,3
P34913,0
Q8WVP7,1
Q9UIE0,3
Q9NQ84,1
P37173,1
Q8NGT5,1
O15062,3
O60384,3
P02489,2
Q8N8R3,4
Q8NGJ6,1
Q9NT22,2
P07359,1
O60241,1
Q96RK0,3
Q6NTF9,0
P16415,3
Q71RS6,4
Q9H2C5,1
Q92824,0
Q8NGR3,1
P62195,0
Q3KP31,3
P43004,4
Q86SQ6,1
Q9Y5W3,3
Q8NAM6,3
Q9UHF7,3
Q9Y615,2
O60906,0
P09601,2
Q6PRD1,1
Q9BZJ3,0
Q9H089,0
Q01780,0
Q9UI42,0
Q9Y6C2,2
P17081,0
Q9H0N0,0
P48048,4
Q9H3Z7,0
Q9NTN3,4
Q9H4W6,3
P05386,2
P04908,2
Q9NVV9,3
P23946,0
Q2TV78,0
Q7L014,0
Q8TAF7,3
P08670,2
P12035,2
Q13183,4
Q14119,3
Q9HAK2,3
P18206,2
Q96RE7,3
Q9H2B4,4
P43268,3
O75443,2
Q92643,0
P00813,0
O75061,0
P62945,2
P59533,1
P08865,2
P13010,0
P10073,3
Q5T601,1
Q9Y2E5,0
P13501,0
O75899,1
Q14584,3
P10606,4
Q16690,0
Q04941,4
Q9UJ14,0
Q8NGJ4,1
Q3KR37,4
Q13823,0
Q96NG5,3
Q15149,2
Q6IF63,1
P23769,3
Q15493,0
Q9UHI6,0
Q9UHD4,4
P15374,0
Q8NGS3,1
P14868,0
Q12946,3
P32302,1
O15374,4
Q13796,4
Q99436,0
Q9Y3R4,0
P59543,1
Q86W33,1
Q15399,1
Q9C0K0,3
P51679,1
Q9UBC9,2
Q8TBZ8,3
P34925,1
Q6ZN92,0
Q9H3M9,0
Q8ND71,0
Q9NRA2,4
Q9UQD0,4
Q6IF36,1
Q9HAZ2,3
P27658,2
O95231,3
Q8N434,4
Q8TF66,1
Q8NGS9,1
Q5TDH0,0
Q96P47,0
Q4G0W2,0
Q9NXU5,0
Q9UHI7,4
A6NMT0,3
Q8IY17,0
Q8NH43,1
O75096,1
Q96C86,0
Q8NGX2,1
Q6BEB4,3
Q9H7R5,3
P33993,0
P09471,0
Q9HBR0,4
Q9BRF8,0
P29218,0
Q9UKV0,0
Q9UK10,3
Q6UXT9,0
Q8WYK0,0
P12036,2
Q96ND8,3
Q96JA1,1
Q15669,0
Q6P1N9,0
Q8IWU5,0
Q8N3C0,0
Q8N628,1
Q9NRM0,4
P0C645,1
Q4KMQ2,4
Q08211,0
O76031,0
Q7Z5D8,3
Q96J94,0
Q8NFT8,1
Q16587,3
P51522,3
H3BV60,1
Q8TF45,3
P08581,1
P13942,2
Q8NGJ7,1
P0DJD8,0
P43003,4
Q9UKI9,3
O00754,0
Q6P9H5,0
P68032,0
Q8NFH5,2
Q9Y653,1
Q9UK59,0
Q9H4L7,0
P46063,0
Q5JNZ3,3
Q8NGI7,1
Q6PEZ8,2
Q9P0S9,4
Q7RTM1,4
Q9BYK8,0
P36578,2
Q7L2R6,3
P22888,1
O00299,4
P17813,1
Q5VW22,0
P12955,0
Q969G2,3
Q7Z3Q1,4
O00602,1
Q9P2E9,1
Q99965,0
Q8NBF1,3
Q9NSA0,4
P63252,4
Q9BZM1,0
Q9Y230,0
P51511,0
Q9Y5A6,3
Q86UW1,4
Q8N148,1
P78536,0
P41231,1
P36894,1
Q8TF32,3
P49715,3
O75173,0
Q92610,3
Q06416,3
O60264,0
Q9BSD7,0
Q9UID6,3
Q99717,3
P28838,0
Q96CS4,3
P07320,2
Q9Y4D7,1
Q96DT7,3
Q14814,3
P56915,3
Q9UHF4,1
O75037,0
P27635,2
P08887,1
Q9H0D6,0
P17017,3
Q8NGE7,1
Q9NP91,4
Q6ZP29,4
P78504,2
A6NHC0,0
P16233,0
O60494,1
P21580,0
Q8N988,3
Q02556,3
Q8NH03,1
Q9Y496,0
Q63HK5,3
P06858,0
Q6W4X9,2
Q92878,0
Q50KZ9,1
P36021,4
P0C646,1
O00468,2
Q6EIG7,1
Q5HYK9,3
Q9H5J0,3
Q9H790,0
Q9Y6E7,0
Q7RTR8,1
Q5R3K3,4
Q9BSK2,4
P35408,1
P23760,3
Q9NZQ8,4
Q8NG84,1
Q12951,3
Q6AW86,3
A4D2B0,0
Q13291,1
Q15413,4
P43116,1
O95947,3
Q8IWA4,0
Q96A58,0
P16118,0
P41162,3
P05186,0
O94910,1
Q96K76,0
Q96L91,0
P17181,1
P52888,0
P16284,1
Q14390,0
O15370,3
P62241,2
Q9H114,0
P62826,0
O75084,1
Q2TAZ0,4
P52849,0
Q09470,4
Q9NV35,0
Q96JB3,3
Q01064,0
O75951,0
P31276,3
Q96A08,2
Q96EG3,3
P08048,3
Q7L523,0
P55344,2
Q8NH08,1
Q96SF2,4
P49286,1
P60900,0
Q9UH73,3
O95625,3
O15143,2
O14975,4
Q04206,3
Q9HCC6,3
P62140,0
Q9Y2P7,3
O00148,0
Q9UBX2,3
P08195,4
O00634,3
P11215,1
Q9UNX3,2
Q9P2S2,1
Q96NJ3,3
Q9H0F7,0
P35414,1
Q96GC6,3
Q8NE71,0
Q8NFJ6,1
Q9UKQ9,0
P11137,2
Q5JW98,4
O15090,3
Q6GQQ9,0
P31314,3
P10075,3
P51153,0
Q8IVW1,0
Q99665,1
Q6NVV1,2
Q86WS5,0
O60284,3
Q3LHN0,2
Q8NH19,1
Q9BYT9,4
Q9UJ42,1
Q13361,2
P46094,1
P23141,0
P16473,1
P12004,0
A1KZ92,0
P53816,0
Q9NYW2,1
Q8NGZ5,1
Q02386,3
Q8NGW1,1
Q8NEW0,4
Q15546,1
P55210,0
P41219,2
Q96ME7,3
Q9ULW2,1
Q96N87,4
Q15776,3
Q9BZR6,1
Q96K62,3
Q9H4S2,3
P52797,1
P50570,0
Q5VV16,3
Q92665,2
Q8N9Z0,3
Q6PEY0,4
P47712,0
Q9NSD4,3
P11233,0
Q5GJ75,4
P17676,3
Q9H343,1
Q96KN2,0
Q9Y6H8,4
Q9GZU1,4
Q6ICL7,4
O14763,1
O14782,0
Q75T13,0
Q9NWW9,0
Q9BX74,1
Q9UQ05,4
A6NK97,4
A6NGQ2,2
Q14585,3
Q8WZ75,1
Q6UY18,1
P63211,0
Q96RA2,1
P36543,4
P63092,0
Q9UKF5,0
Q6ZV50,3
Q9H313,4
O95139,4
Q9HBE5,1
Q96NU1,3
Q9P0U3,0
Q5VU57,0
Q13501,1
P30679,0
Q9BXP2,4
P30559,1
Q9UPU3,1
Q8NDV3,0
P49862,0
O14931,1
Q12797,2
Q6NT16,4
Q8NGK9,1
Q99829,0
Q12884,0
Q96EK4,3
Q86XF7,3
O60729,0
P67812,0
O75604,0
Q06330,3
Q13615,0
Q9UL03,1
Q9H993,0
Q92956,1
Q8NGJ0,1
Q15019,0
Q9H5V7,3
Q8TAX0,3
Q92482,4
Q9NUQ7,0
O00180,4
Q8NHV9,3
P12956,0
P31431,1
Q08188,2
Q15750,0
Q86WA6,0
Q9UPM6,3
A0A1W2PQ27,0
Q9H1K4,4
Q32M88,0
Q9NX62,0
Q8TBJ4,0
Q13606,1
Q14152,2
P14921,3
Q6HA08,0
P03886,4
Q5T9A4,0
Q9BZE1,2
Q8NGY1,1
P46093,1
Q9Y6X9,0
O00716,3
Q6QNK2,1
P50583,0
P0CK96,4
Q7LDI9,2
Q8IZF4,1
Q8NGE3,1
P0C024,0
Q9H9S0,3
Q8TA94,3
P17023,3
P37088,4
Q9Y2G7,3
P12110,2
Q9NTJ4,0
Q96LB2,1
P55318,3
P33908,0
P04275,2
Q9NVI7,0
Q8N883,3
P29376,1
O76099,1
Q9BQF6,0
Q5VST6,0
O95500,2
P41594,1
Q8IUG1,2
Q8NH50,1
P30989,1
O15014,3
Q5T1C6,0
P0DTE0,1
P27930,1
P57729,0
P58743,4
P14784,1
Q01196,3
Q8TF42,0
Q6UVM3,4
P02511,2
A6ND48,1
O15525,3
P04000,1
Q9H254,2
O00231,2
P05413,4
Q8NH59,1
P20594,1
Q9NYW1,1
Q9GZR2,0
P07196,2
Q5T2D2,1
Q6UB28,0
Q5VZM2,0
Q9NRW3,0
O95936,3
P78411,3
O15204,0
P18847,3
Q8TD47,2
P13797,2
Q12778,3
O75444,3
Q96SN7,4
P12814,2
Q14916,4
P49795,0
P17021,3
Q8NE79,2
Q9Y487,4
Q969I6,4
Q9UKH3,2
Q8NGF8,1
Q9UN76,4
Q9BW27,2
P80108,0
P13612,1
Q9Y467,3
P21731,1
Q68CJ9,3
Q8NGR2,1
Q5T2D3,0
Q96R54,1
Q8N9L1,3
P78563,0
Q8IY21,0
P07766,1
O00483,4
P30825,4
P51164,4
P32745,1
Q8NGX8,1
P34059,0
P15976,3
Q96RN1,4
Q9H310,4
Q8NE01,4
Q8NHV1,0
Q16082,2
Q8N4Z0,0
P31629,3
A0A2R8Y619,2
Q8N587,3
Q9H6V9,0
Q8NGG5,1
P51798,4
P02790,4
P41597,1
P51151,0
O15522,3
Q9BQ83,0
Q9UC07,3
Q7RTS7,2
Q15125,0
P15622,3
Q8NHE4,4
Q8WVJ9,3
O15535,3
P37023,1
Q00872,2
Q9Y490,2
P63121,0
Q6GMR7,0
O75113,0
P52566,0
P28356,3
Q99456,2
Q9P255,3
A6NGY5,1
P07384,0
P28221,1
Q9BVC6,4
Q6UX52,1
A3KFT3,1
Q674R7,4
Q9Y239,1
Q9Y6R7,2
Q9GZN0,1
Q8NFZ6,1
A6NEC2,0
O15066,0
O95644,3
P27816,2
P02533,2
Q9H1V8,4
Q15842,4
Q7RTU5,3
Q9BYX7,2
Q9UBX3,4
Q8NGG1,1
P0CG31,3
Q8TCC7,4
P51686,1
Q96DW6,4
P0C6A0,3
P60660,2
Q9HBT7,3
P52952,3
Q9BQ65,0
Q6UX06,2
Q9NP08,3
O76081,0
P45880,4
Q08AN1,3
Q96R69,1
Q6W5P4,1
A6NCW0,0
Q9UBH6,4
Q8NH42,1
Q8NG04,4
Q9UM00,4
Q8NGS7,1
Q8NGV5,1
Q08289,4
Q16204,2
O95096,3
P35555,2
P0C0S5,2
P48544,4
Q7L266,0
Q2M3X9,3
Q9H4I8,0
Q9ULG1,0
Q8NDA2,1
Q8WTR4,0
P16444,0
Q96NB2,4
Q9BSE5,0
P82921,2
P63131,0
P24855,0
Q9Y3E5,0
P17098,3
Q01469,4
Q86VK4,3
Q3KQV3,3
Q6UWV6,0
Q96PQ6,3
Q6PIL6,4
Q8N9F8,3
Q9Y5Y6,0
P00797,0
Q8TDN7,0
P19438,1
Q07954,1
Q96BR6,3
Q15915,3
Q96JA3,4
Q8NGQ1,1
P15169,0
P15918,0
O15266,3
P02671,2
Q8NG78,1
Q8NFA0,0
Q02388,2
Q9NXH8,0
P24928,0
P0C7X2,3
Q9UJV8,3
Q00613,3
Q92599,0
Q15477,0
Q8NFM7,1
O75628,0
Q8NGJ3,1
Q8IZA3,2
O60939,4
Q99958,3
Q8NGH9,1
O43448,4
P50406,1
Q969S9,0
P40617,0
Q9BXP8,0
O14718,1
Q495T6,0
Q9NR97,1
Q902F8,2
P21810,2
O14804,1
Q9HDC5,2
Q96A35,2
P0DMS9,1
O95450,0
Q9NZQ0,0
O14925,4
P43007,4
Q96KP4,0
Q8NH06,1
O76075,0
Q99653,4
P13639,0
Q8TAQ5,3
P25774,0
Q96T55,4
Q9GIP4,4
P42081,1
Q92508,4
Q86W26,0
P27449,4
Q14117,0
Q8NG98,1
Q13433,4
Q9H175,3
Q6ZN11,3
Q86W34,0
P56181,4
Q9NY91,4
Q7Z3I7,3
P07288,0
Q13873,1
P31639,4
Q6ZMS4,3
O43309,3
P53618,2
Q96BI1,4
Q13956,0
Q9UPU5,0
Q9Y342,2
Q08708,1
Q6ZN79,3
Q9UPR5,4
Q14831,1
Q9HCZ1,3
Q96RD9,1
Q9Y696,4
Q9H0X9,4
Q96MC6,4
P21754,2
E7ETH6,3
Q9H227,0
Q96A29,4
Q9GZK4,1
Q8IYK8,0
Q9BX95,0
Q5H9E4,4
Q8WVB6,0
O60930,0
O00409,3
P51787,4
Q96DA2,0
P11844,2
P17066,0
P08238,0
Q6NSZ9,3
Q99459,3
Q9BRY0,4
Q9UL19,0
P34096,0
Q9BWQ8,4
P46781,2
O15552,1
Q8TDQ1,1
P0DSN6,1
Q7Z794,2
O00590,1
Q96BA8,3
Q9UJV9,0
Q9H582,3
P33176,0
Q9BR39,3
P09923,0
Q04446,0
O95248,0
P46736,0
P51793,4
P42224,3
P32243,3
Q6NX45,3
Q7Z2G1,2
O15527,0
Q14847,4
P14672,4
Q495A1,1
Q9BU02,0
Q9HD23,4
Q9UMQ3,3
Q6GMV3,0
P51826,3
P05387,2
Q02978,4
Q9BRJ2,2
P06734,1
P01116,0
O14830,0
Q9BXC1,1
P35080,0
Q2NKX8,0
P41145,1
O15539,0
P33316,0
Q63ZE4,4
Q15907,0
Q7Z7F7,2
Q5TAT6,2
Q6ISB3,3
Q8NGK0,1
P19440,0
Q8N693,3
P55265,0
Q9H165,3
Q7RTP0,4
Q9NSC2,3
Q8IWX5,0
O14647,0
O95837,0
Q9UPW5,0
Q9H2W2,3
Q8NGT1,1
Q06418,1
P29120,0
Q6N043,3
Q6DN72,1
P38571,0
P48051,4
P17301,1
A8MUZ8,3
Q14697,0
Q5JRS4,1
P11166,4
Q8TEL6,4
Q9UGM3,1
P03905,4
P32004,1
P48145,1
O76082,4
Q14532,2
P47890,1
Q8IY26,0
O75575,1
Q96F15,0
Q5T6X5,1
Q7RTY1,4
Q8N5P1,3
Q8NHA8,1
Q9NTK5,0
Q8IUC1,2
P18887,0
Q8NGE5,1
P15260,1
O95436,4
P40227,0
P10323,0
O95336,0
Q9NRX4,0
P17022,3
Q8NCE2,0
P48052,0
Q8NHH9,0
Q9NSE4,0
Q96N95,3
P54652,0
P06576,4
Q9UBR1,0
Q6ZT89,4
Q53HV7,0
Q07075,0
O43451,0
Q8NH80,1
H7C241,2
P52741,3
Q9Y271,1
Q9Y337,0
Q9Y2T5,1
Q9UHC1,0
Q92890,0
Q68D91,0
P26640,0
Q8N6G6,0
Q96ER9,4
