Entry,Hydrolase,Receptor,Structural protein,Transcription factor,Transport protein
Q9HCX3,0,0,0,1,0
Q9BWM5,0,0,0,1,0
O43296,0,0,0,1,0
Q00688,0,1,0,0,0
Q96SQ5,0,0,0,1,0
Q9BYD6,0,0,1,0,0
Q05195,0,0,0,1,0
Q9BT78,1,0,0,0,0
Q9BX68,1,0,0,0,0
Q14592,0,0,0,1,0
Q9BX74,0,1,0,0,0
Q05397,1,0,0,0,0
Q9UKM7,1,0,0,0,0
P49406,0,0,1,0,0
Q9H0R4,1,0,0,0,0
Q8TCS8,1,0,0,0,0
Q86T03,1,0,0,0,0
Q86YN1,1,0,0,0,0
Q8N4L2,1,0,0,0,0
Q8TDD1,1,0,0,0,0
P41231,0,1,0,0,0
Q96GM8,1,0,0,0,0
Q9HCC6,0,0,0,1,0
Q9HAP2,0,0,0,1,0
Q9UBX3,0,0,0,0,1
Q5VVJ2,1,0,0,0,0
Q8WYA1,0,0,0,1,0
Q8WTS1,1,0,0,0,0
Q96FW1,1,0,0,0,0
Q96G01,0,0,1,0,0
Q8NHW3,0,0,0,1,0
Q9Y5Q3,0,0,0,1,0
Q9UJ14,1,0,0,0,0
Q15620,0,1,0,0,0
Q92859,0,1,0,0,0
Q15916,0,0,0,1,0
Q9UNH5,1,0,0,0,0
P35638,0,0,0,1,0
Q96KR4,1,0,0,0,0
Q8NFH5,0,0,1,0,0
O75333,0,0,0,1,0
O60783,0,0,1,0,0
Q92499,1,0,0,0,0
P28288,1,0,0,0,1
P54289,0,0,0,0,1
O15173,0,1,0,1,1
Q9NU63,0,0,0,1,0
Q9NRC8,1,0,0,0,0
Q14807,1,0,0,0,0
Q9GZR1,1,0,0,0,0
Q9NSA2,0,0,0,0,1
O94810,1,0,0,0,0
O60765,0,0,0,1,0
Q96LW1,0,0,0,1,0
Q15109,0,1,0,0,0
Q9UK17,0,0,0,0,1
Q9NZV8,0,0,0,0,1
O43681,1,0,0,0,0
A2A3K4,1,0,0,0,0
Q13360,0,0,0,1,0
Q12794,1,0,0,0,0
Q2NL82,1,0,0,0,0
Q0VDF9,1,0,0,0,0
Q92526,1,0,0,0,0
A6NM28,0,0,0,1,0
P08134,1,0,0,0,0
P61586,1,0,0,0,0
P62745,1,0,0,0,0
Q92633,0,1,0,0,0
Q8N587,0,0,0,1,0
A8MYZ6,0,0,0,1,0
Q15697,0,0,0,1,0
Q8NGG6,0,1,0,0,0
Q9UBM7,1,0,0,0,0
Q8WWT9,0,0,0,0,1
Q9BXU7,1,0,0,0,0
P10075,0,0,0,1,0
Q9Y256,1,0,0,0,0
Q86TS9,0,0,1,0,0
Q08188,0,0,1,0,0
A6NFI3,0,0,0,1,0
Q9HA72,0,0,0,0,1
Q9NVS2,0,0,1,0,0
P57771,1,0,0,0,0
P23759,0,0,0,1,0
P51164,0,0,0,0,1
O75306,0,0,0,0,1
P62910,0,0,1,0,0
Q86UB9,0,0,0,0,1
Q96PQ6,0,0,0,1,0
Q96KP4,1,0,0,0,0
P27708,1,0,0,0,0
P17023,0,0,0,1,0
P35914,0,0,1,0,0
O43674,0,0,0,0,1
Q9BUG6,0,0,0,1,0
A6NGD5,0,0,0,1,0
P11233,1,0,0,0,0
P11234,1,0,0,0,0
Q9UJU6,0,0,1,0,0
A0PJK1,0,0,0,0,1
O14529,0,0,0,1,0
Q96G91,0,1,0,0,0
A6NJL1,0,0,0,1,0
Q9BTV4,0,0,0,0,1
O95255,1,0,0,0,1
Q96NL3,0,0,0,1,0
P14784,0,1,0,0,0
O95336,1,0,0,0,0
O60306,1,0,0,0,0
A1L453,1,0,0,0,0
Q9Y2R9,0,0,1,0,0
P48047,1,0,0,0,1
P56181,0,0,0,0,1
P82933,0,0,1,0,0
Q9BSW2,1,0,0,0,0
Q96MU6,0,0,0,1,0
Q9H0S4,1,0,0,0,0
P16298,1,0,0,0,0
Q8N594,1,0,0,0,0
O43511,0,0,0,0,1
Q9BRJ2,0,0,1,0,0
Q9BXS4,1,0,0,0,0
O14771,0,0,0,1,0
Q04446,1,0,0,0,0
A6NFX1,0,0,0,0,1
Q08623,1,0,0,0,0
Q9BYU1,0,0,0,1,0
Q12981,0,0,0,0,1
O43464,1,0,0,0,0
P78382,0,0,0,0,1
P42575,1,0,0,0,0
Q6UB28,1,0,0,0,0
Q14117,1,0,0,0,0
Q9NWF4,0,0,0,0,1
Q9HAB3,0,1,0,0,1
Q9H5Z1,1,0,0,0,0
P26992,0,1,0,0,0
Q96NY9,1,0,0,0,0
Q9H2W6,0,0,1,0,0
Q9BYD2,0,0,1,0,0
Q99742,0,0,0,1,0
A6NHC0,1,0,0,0,0
Q9HAU8,1,0,0,0,0
Q10588,1,0,0,0,0
P62826,1,0,0,0,0
O43826,0,0,0,0,1
Q9Y5J7,0,0,0,0,1
Q8NFJ6,0,1,0,0,0
Q14149,1,0,0,0,0
Q8WZ82,1,0,0,0,0
Q15750,1,0,0,0,0
Q9NUV9,1,0,0,0,0
O75113,1,0,0,0,0
Q9BQ61,1,0,0,0,0
P30532,0,1,0,0,1
Q9UQD0,0,0,0,0,1
P14222,0,0,0,0,1
O43184,1,0,0,0,0
Q9H568,0,0,1,0,0
O95167,0,0,0,0,1
Q9H0U3,0,0,0,0,1
Q9HCN4,1,0,0,0,0
Q3ZCQ8,1,0,0,0,0
Q9NZE8,0,0,1,0,0
O95297,0,0,1,0,0
Q08ER8,0,0,0,1,0
O43313,0,0,0,1,0
Q9Y4I1,1,0,0,0,0
P15918,1,0,0,0,0
Q6NTF9,1,0,0,0,0
Q92905,1,0,0,0,0
O94826,0,0,0,0,1
Q9BY32,1,0,0,0,0
Q9HCR9,1,0,0,0,0
Q6P587,1,0,0,0,0
Q9BVC6,0,0,0,0,1
Q7Z2W9,0,0,1,0,0
Q9HD34,0,0,1,0,0
P36776,1,0,0,0,0
Q5JTZ9,1,0,0,0,0
Q96EL2,0,0,1,0,0
Q96IU4,1,0,0,0,0
Q9Y676,0,0,1,0,0
Q8TAE8,0,0,1,0,0
P31930,0,0,0,0,1
Q8WV93,1,0,0,0,0
Q8WUK0,1,0,0,0,0
Q02978,0,0,0,0,1
O00590,0,1,0,0,0
P78545,0,0,0,1,0
Q14141,1,0,0,0,0
Q92599,1,0,0,0,0
Q8NI51,0,0,0,1,0
P22059,0,0,0,0,1
Q9BRH9,0,0,0,1,0
Q3I5F7,1,0,0,0,0
Q86TX2,1,0,0,0,0
P28072,1,0,0,0,0
Q9C0F3,0,0,0,1,0
Q13405,0,0,1,0,0
Q14197,1,0,0,0,0
P13995,1,0,0,0,0
P27540,0,1,0,1,0
Q49AN0,0,1,0,0,0
Q9HB75,1,0,0,0,0
Q8IZD4,1,0,0,0,0
Q15526,0,0,0,0,1
Q14697,1,0,0,0,0
Q9H841,0,0,0,0,1
Q6BEB4,0,0,0,1,0
P53582,1,0,0,0,0
P78381,0,0,0,0,1
Q8WU17,0,1,0,0,0
Q7Z7F7,0,0,1,0,0
Q9NX52,1,0,0,0,0
Q96NG5,0,0,0,1,0
P40227,1,0,0,0,0
Q0P6H9,1,0,0,0,0
P12270,0,0,1,0,0
Q53H82,1,0,0,0,0
P54132,1,0,0,0,0
Q8IUX7,1,0,0,1,0
O43181,0,0,0,0,1
Q99436,1,0,0,0,0
Q8N490,1,0,0,0,0
P34059,1,0,0,0,0
Q9Y3D5,0,0,1,0,0
Q10713,1,0,0,0,0
Q8N988,0,0,0,1,0
P32519,0,0,0,1,0
P18669,1,0,0,0,0
Q8N0Y7,1,0,0,0,0
Q96RJ6,0,0,0,1,0
Q96P56,0,0,0,0,1
Q9H0W9,1,0,0,0,0
P36578,0,0,1,0,0
E5RG02,1,0,0,0,0
Q8IUH8,1,0,0,0,0
P45844,1,0,0,0,1
Q9Y5Y3,0,1,0,0,0
P0DTU3,0,1,0,0,0
P06703,0,0,0,0,1
Q05996,0,1,1,0,0
Q6KB66,0,0,1,0,0
O95477,1,1,0,0,1
A6ND01,0,1,0,0,0
Q96C86,1,0,0,0,0
Q99593,0,0,0,1,0
P42285,1,0,0,0,0
O60755,0,1,0,0,0
P15880,0,0,1,0,0
P20929,0,0,1,0,0
P09497,0,0,1,0,0
Q8TB40,1,0,0,0,0
Q8NH18,0,1,0,0,0
P62495,1,0,0,0,0
P55210,1,0,0,0,0
Q96EB6,1,0,0,0,0
P53814,0,0,1,0,0
O60281,0,0,0,1,0
P49773,1,0,0,0,0
Q6UXS9,1,0,0,0,0
Q8WZ55,0,0,0,0,1
P11137,0,0,1,0,0
Q8IXW5,1,0,0,0,0
Q14344,1,0,0,0,0
A8MX34,0,0,1,0,0
Q96QR8,0,0,0,1,0
P62140,1,0,0,0,0
Q92736,0,0,0,0,1
Q13129,0,0,0,1,0
P37275,0,0,0,1,0
P62280,0,0,1,0,0
O94811,1,0,0,0,0
P61221,1,0,0,0,0
Q96MA1,0,0,0,1,0
Q9H936,0,0,0,0,1
Q5EG05,1,0,0,0,0
P29466,1,0,0,0,0
Q5XLA6,1,0,0,0,0
Q9NYW3,0,1,0,0,0
P33176,1,0,0,0,0
P36873,1,0,0,0,0
Q4KWH8,1,0,0,0,0
P27816,0,0,1,0,0
O60282,1,0,0,0,0
Q9HC24,0,0,0,0,1
Q8TDD5,0,0,0,0,1
Q9P2D1,1,0,0,0,0
Q9HCK8,1,0,0,0,0
Q9Y5R5,0,0,0,1,0
P62333,1,0,0,0,0
P29218,1,0,0,0,0
P09467,1,0,0,0,0
Q9BZJ4,0,0,0,0,1
O43861,1,0,0,0,1
P57730,1,0,0,0,0
O43772,0,0,0,0,1
O00327,0,0,0,1,0
Q13387,0,0,1,0,0
Q00577,0,0,0,1,0
Q16204,0,0,1,0,0
P43119,0,1,0,0,0
Q04941,0,0,0,0,1
P04040,1,0,0,0,0
Q9HBA0,0,1,0,0,1
Q8TD22,0,0,0,0,1
Q9NY33,1,0,0,0,0
O75643,1,0,0,0,0
Q96NY7,0,0,0,0,1
P0C870,1,0,0,0,0
Q6P9A3,0,0,0,1,0
Q8TD17,0,0,0,1,0
Q6ZMS7,0,0,0,1,0
Q9HCE9,0,0,0,0,1
Q9NZ52,0,0,0,0,1
Q16254,0,0,0,1,0
Q8TCG5,1,0,0,0,0
P21854,0,1,0,0,0
O43524,0,0,0,1,0
P56696,0,0,0,0,1
Q12986,0,0,0,1,0
Q12778,0,0,0,1,0
P49638,0,0,0,0,1
Q8NBF1,0,0,0,1,0
Q9NZM6,0,0,0,0,1
Q6NUN9,0,0,0,1,0
Q8IV20,1,0,0,0,0
Q9NVE7,1,0,0,0,0
Q9UPR0,1,0,0,0,0
P60880,0,0,0,0,1
P19838,0,0,0,1,0
P48382,0,0,0,1,0
P57071,0,0,0,1,0
Q07837,0,0,0,0,1
Q9UBK7,1,0,0,0,0
Q9UNT1,1,0,0,0,0
P14854,0,0,0,0,1
P51878,1,0,0,0,0
A6NLW8,0,0,0,1,0
Q8TDX9,0,0,0,0,1
Q9UP38,0,1,0,0,0
Q8IZM8,0,0,0,1,0
P25398,0,0,1,0,0
P21980,1,0,0,0,0
Q9H082,1,0,0,0,0
Q8NHB7,0,1,0,0,0
P0C628,0,1,0,0,0
P56693,0,0,0,1,0
O00299,0,0,0,0,1
Q2KHR2,0,0,0,1,0
Q9NQE9,1,0,0,0,0
Q15776,0,0,0,1,0
Q969T7,1,0,0,0,0
Q9Y342,0,0,1,0,0
Q15111,1,0,0,0,0
Q8NHH9,1,0,0,0,0
Q9Y4E8,1,0,0,0,0
Q15413,0,0,0,0,1
Q13107,1,0,0,0,0
Q8N414,1,0,0,0,0
Q86US8,1,0,0,0,0
P49662,1,0,0,0,0
P07311,1,0,0,0,0
Q5VU57,1,0,0,0,0
Q96FN9,1,0,0,0,0
Q8NA42,0,0,0,1,0
Q6ZV50,0,0,0,1,0
O00574,0,1,0,0,0
O00623,0,0,0,0,1
P58317,0,0,0,1,0
P60510,1,0,0,0,0
Q9H172,1,0,0,0,1
Q92953,0,0,0,0,1
O95935,0,0,0,1,0
P09496,0,0,1,0,0
Q14244,0,0,1,0,0
Q9Y5J9,0,0,0,0,1
Q8NDY6,0,0,0,1,0
Q8IWX5,1,0,0,0,0
Q99941,0,0,0,1,0
P55017,0,0,0,0,1
P45974,1,0,0,0,0
Q8NGQ5,0,1,0,0,0
Q8IVP9,0,0,0,1,0
Q9NQF3,1,0,0,0,0
Q13838,1,0,0,0,0
Q96GC9,0,0,0,0,1
Q9NQT5,1,0,0,0,0
Q6IV72,0,0,0,1,0
Q8IXJ6,1,0,0,0,0
Q8NHX9,0,0,0,0,1
Q8IWA4,1,0,0,0,0
P24666,1,0,0,0,0
O00148,1,0,0,0,0
Q96MI9,1,0,0,0,0
P26998,0,0,1,0,0
Q8TCT6,1,0,0,0,0
P21580,1,0,0,0,0
Q9P2J5,1,0,0,0,0
Q9Y6Y8,1,0,0,0,0
Q8NGE9,0,1,0,0,0
A0A1W2PQL4,0,0,0,1,0
Q99442,0,1,0,0,0
Q6ZU15,1,0,0,0,0
P36896,0,1,0,0,0
Q9UDV6,0,0,0,1,0
Q9P0X4,0,0,0,0,1
Q8NHV1,1,0,0,0,0
Q9HCC8,1,0,0,0,0
Q9Y3Q0,1,0,0,0,0
P49736,1,0,0,0,0
Q92949,0,0,0,1,0
Q58FF3,1,0,0,0,0
Q7Z398,0,0,0,1,0
Q68CJ6,1,0,0,0,0
O95833,0,0,0,0,1
Q6IF63,0,1,0,0,0
Q12840,1,0,0,0,0
Q9H790,1,0,0,0,0
P47804,0,1,0,0,0
Q6B8I1,1,0,0,0,0
O43167,0,0,0,1,0
P61018,1,0,0,0,0
P62841,0,0,1,0,0
P85037,0,0,0,1,0
Q9NTN3,0,0,0,0,1
Q8NH85,0,1,0,0,0
P40429,0,0,1,0,0
P0C025,1,0,0,0,0
P54803,1,0,0,0,0
Q12870,0,0,0,1,0
P12104,0,0,0,0,1
Q99467,0,1,0,0,0
O75467,0,0,0,1,0
Q63ZE4,0,0,0,0,1
Q6P1L8,0,0,1,0,0
Q9GZV3,0,0,0,0,1
P60866,0,0,1,0,0
Q9Y6M9,0,0,0,0,1
Q5T6X5,0,1,0,0,0
Q9NQ40,0,0,0,0,1
Q6GPI1,1,0,0,0,0
Q8WVH0,0,0,0,0,1
Q9HDD0,1,0,0,0,0
Q4U2R8,0,0,0,0,1
Q7Z3B4,0,0,1,0,0
Q9H227,1,0,0,0,0
P06756,0,1,0,0,0
Q6T423,0,0,0,0,1
Q8IVM8,0,0,0,0,1
P52736,0,0,0,1,0
Q96HS1,1,0,0,0,0
Q96S37,0,0,0,0,1
O43426,1,0,0,0,0
Q9NSA0,0,0,0,0,1
Q86XN6,0,0,0,1,0
A6NK97,0,0,0,0,1
Q9Y6X9,1,0,0,0,0
Q14627,0,1,0,0,0
Q9BTE6,1,0,0,0,0
Q8IZY2,1,1,0,0,1
P56750,0,0,1,0,1
P41180,0,1,0,0,0
Q2VYF4,0,0,0,0,1
Q9H9Y4,1,0,0,0,0
P19174,1,0,0,0,0
A6NEY8,1,0,0,0,0
Q9UBR1,1,0,0,0,0
Q9HD43,1,1,0,0,0
Q01650,0,0,0,0,1
Q8MH63,0,0,0,0,1
Q9GIP4,0,0,0,0,1
Q9NP71,0,0,0,1,0
Q9Y5U8,0,0,0,0,1
Q9Y6H3,1,0,0,0,0
P43220,0,1,0,0,0
Q01970,1,0,0,0,0
Q9NQ66,1,0,0,0,0
Q8NCE2,1,0,0,0,0
Q96DE0,1,0,0,0,0
Q13683,0,1,0,0,0
O43896,1,0,0,0,0
Q12756,1,0,0,0,0
Q14766,0,1,0,0,0
Q99571,0,1,0,0,1
O95837,1,0,0,0,0
Q8WY54,1,0,0,0,0
P51797,0,0,0,0,1
Q8NCT3,1,0,0,0,0
P22891,1,0,0,0,0
Q13202,1,0,0,0,0
P48544,0,0,0,0,1
Q8N371,1,0,0,0,0
Q8IVC4,0,0,0,1,0
Q9Y267,0,0,0,0,1
Q02878,0,0,1,0,0
Q9BUQ8,1,0,0,0,0
Q8NGE3,0,1,0,0,0
Q9Y6V7,1,0,0,0,0
Q9C000,1,1,0,0,0
P41091,1,0,0,0,0
Q2VIR3,1,0,0,0,0
Q13637,1,0,0,0,0
P23497,0,0,0,1,0
Q9H930,0,0,0,1,0
Q71UI9,0,0,1,0,0
P0C0S5,0,0,1,0,0
Q6ZMD2,0,0,0,0,1
Q96GM1,1,0,0,0,0
P60852,0,0,1,0,0
O95365,0,0,0,1,0
Q8WYJ6,1,0,0,0,0
Q01860,0,0,0,1,0
Q06416,0,0,0,1,0
Q8N7G0,0,0,0,1,0
Q9NS82,0,0,0,0,1
P17655,1,0,0,0,0
Q4G0N8,0,0,0,0,1
P54764,0,1,0,0,0
A0JNW5,0,0,0,0,1
Q8TCC3,0,0,1,0,0
O95084,1,0,0,0,0
Q93033,1,0,0,0,0
Q14642,1,0,0,0,0
Q9H221,1,0,0,0,1
P11117,1,0,0,0,0
P51151,1,0,0,0,0
Q9Y5L3,1,0,0,0,0
Q96FM1,1,0,0,0,0
Q9NPD3,1,0,0,0,0
P49190,0,1,0,0,0
Q9BZG2,1,0,0,0,0
O94760,1,0,0,0,0
P67936,0,0,1,0,0
Q8IXF9,0,0,0,0,1
A6NM10,0,0,0,0,1
Q8NFW1,0,0,1,0,0
Q8NHS3,0,0,0,0,1
P15502,0,0,1,0,0
O75935,0,0,1,0,0
O15297,1,0,0,0,0
Q96AM1,0,1,0,0,0
A0A3B3IU63,0,0,1,0,0
Q4U2R6,0,0,1,0,0
Q8N0Y5,0,1,0,0,0
Q8IU57,0,1,0,0,0
Q86YS6,1,0,0,0,0
Q8IZS8,0,0,0,0,1
Q9P015,0,0,1,0,0
P09564,0,1,0,0,0
Q14050,0,0,1,0,0
Q6UXD7,0,0,0,0,1
O75037,1,0,0,0,0
Q8NBI5,0,0,0,0,1
Q9UGP8,0,1,0,0,1
Q9HB14,0,0,0,0,1
P51148,1,0,0,0,0
P16870,1,0,0,0,0
Q16864,0,0,0,0,1
P0C7U0,0,1,0,0,0
O75947,0,0,0,0,1
Q9BW91,1,0,0,0,0
P61158,0,0,1,0,0
Q6J4K2,0,0,0,0,1
P57772,1,0,0,0,0
Q13461,0,0,0,1,0
O00468,0,0,1,0,0
P46459,1,0,0,0,0
Q9H2V7,0,0,0,0,1
O14863,0,0,0,0,1
P56556,0,0,0,0,1
Q9H310,0,0,0,0,1
Q96AZ6,1,0,0,0,0
Q9Y3D9,0,0,1,0,0
P25205,1,0,0,0,0
P50579,1,0,0,0,0
Q6NXT6,0,1,0,0,0
Q16718,0,0,0,0,1
Q9C0H2,0,0,0,0,1
P41586,0,1,0,0,0
P42229,0,0,0,1,0
P35080,1,0,0,0,0
Q9NRY6,0,0,0,0,1
Q03001,0,0,1,0,0
P00403,0,0,0,0,1
Q12955,0,0,1,0,0
P10415,0,0,0,0,1
Q8NDQ6,0,0,0,1,0
Q96N87,0,0,0,0,1
Q99829,1,0,0,0,0
O43676,0,0,0,0,1
Q8TAF7,0,0,0,1,0
Q9BY84,1,0,0,0,0
Q15777,1,0,0,0,0
P17081,1,0,0,0,0
Q9HCL3,0,0,0,1,0
Q8NH10,0,1,0,0,0
P0C7N1,0,1,0,0,0
P17039,0,0,0,1,0
Q8NDV3,1,0,0,0,0
Q6PG37,0,0,0,1,0
O60942,1,0,0,0,0
Q9Y4W6,1,0,0,0,0
Q96PQ0,0,1,0,0,0
P24158,1,0,0,0,0
Q99665,0,1,0,0,0
Q8NGD4,0,1,0,0,0
Q9UNE0,0,1,0,0,0
P00734,1,1,0,0,0
O75311,0,1,0,0,1
Q96LI6,0,0,0,1,0
Q9BZE4,1,0,0,0,0
Q13415,1,0,0,0,0
Q96RD7,0,0,1,0,1
A1A5C7,0,0,0,0,1
Q8NGJ9,0,1,0,0,0
Q6ZT21,1,0,0,0,0
Q9H207,0,1,0,0,0
Q9NQ84,0,1,0,0,0
P61619,0,0,0,0,1
Q9Y2C4,1,0,0,0,0
Q96MB7,1,0,0,0,0
P10073,0,0,0,1,0
Q15629,0,1,0,0,0
Q99607,0,0,0,1,0
Q3MJ62,0,0,0,1,0
P0DMV8,1,0,0,0,0
Q9BZ71,1,0,0,0,1
Q9GZV1,0,0,1,0,0
P07949,0,1,0,0,0
P51153,1,0,0,0,0
A6NKH3,0,0,1,0,0
Q14186,0,0,0,1,0
P07307,0,1,0,0,0
O75841,0,0,1,0,0
P07451,1,0,0,0,0
Q5SRI9,1,0,0,0,0
Q8NA29,0,0,0,0,1
P15144,1,1,0,0,0
Q5BJD5,0,0,0,0,1
P82921,0,0,1,0,0
P42766,0,0,1,0,0
Q16281,0,0,0,0,1
P48029,0,0,0,0,1
P61026,1,0,0,0,0
P27169,1,0,0,0,0
O95870,1,0,0,0,0
Q86W47,0,0,0,0,1
P48051,0,0,0,0,1
Q9UK12,0,0,0,1,0
Q8NGQ6,0,1,0,0,0
Q8WXF7,1,0,0,0,0
P08133,0,0,0,0,1
Q9Y2K1,0,0,0,1,0
Q15147,1,0,0,0,0
P59190,1,0,0,0,0
Q96SB8,1,0,0,0,0
P0CB33,0,0,0,1,0
A6NP11,0,0,0,1,0
Q96JC4,0,0,0,1,0
Q8IYX0,0,0,0,1,0
Q92626,0,0,1,0,0
P10243,0,0,0,1,0
Q9NR71,1,0,0,0,0
P61513,0,0,1,0,0
Q96A58,1,0,0,0,0
P47914,0,0,1,0,0
O15379,1,0,0,0,0
Q92930,1,0,0,0,0
P61006,1,0,0,0,0
Q8HWS3,0,0,0,1,0
Q01094,0,0,0,1,0
Q9BYC8,0,0,1,0,0
Q92985,0,0,0,1,0
Q9NWW9,1,0,0,0,0
Q9BZE1,0,0,1,0,0
P28074,1,0,0,0,0
Q13608,1,0,0,0,1
Q5T653,0,0,1,0,0
Q2TAA2,1,0,0,0,0
P15621,0,0,0,1,0
Q8N8R3,0,0,0,0,1
Q9UKU6,1,0,0,0,0
P62195,1,0,0,0,0
Q8NAM6,0,0,0,1,0
P54762,0,1,0,0,0
Q8N8Q3,1,0,0,0,0
Q96PP8,1,0,0,0,0
P07998,1,0,0,0,0
Q9NPB9,0,1,0,0,0
Q99650,0,1,0,0,0
P55058,0,0,0,0,1
Q15582,0,0,1,0,0
Q8N8A6,1,0,0,0,0
Q9NRR2,1,0,0,0,0
Q9Y2N7,0,0,0,1,0
Q8NH09,0,1,0,0,0
O14896,0,0,0,1,0
Q14694,1,0,0,0,0
P50990,1,0,0,0,0
A6NM45,0,0,1,0,0
P33993,1,0,0,0,0
P10768,1,0,0,0,0
Q9NS68,0,1,0,0,0
Q9NZD2,0,0,0,0,1
O75027,1,0,0,0,1
P84550,0,0,0,1,0
P28062,1,0,0,0,0
P15260,0,1,0,0,0
Q9UHL9,0,0,0,1,0
O60393,0,0,0,1,0
P23945,0,1,0,0,0
P42765,1,0,0,0,0
Q9BZM1,1,0,0,0,0
Q6NTF7,1,0,0,0,0
O43812,0,0,0,1,0
O43323,1,0,0,0,0
Q7Z769,0,0,0,0,1
P30550,0,1,0,0,0
Q6U736,0,1,0,0,0
O15393,1,0,0,0,0
O60248,0,0,0,1,0
Q6ZNW5,1,0,0,0,0
Q8WVY7,1,0,0,0,0
A6NMU1,0,1,0,0,0
P54845,0,0,0,1,0
Q5VIY5,0,0,0,1,0
P0CJ79,0,0,0,1,0
Q7L2R6,0,0,0,1,0
Q6ZN06,0,0,0,1,0
P17035,0,0,0,1,0
Q9H7R5,0,0,0,1,0
Q8N2Q7,0,1,0,0,0
Q8N3C0,1,0,0,0,0
P20594,0,1,0,0,0
P52740,0,0,0,1,0
Q6RFH8,0,0,0,1,0
Q9UBX2,0,0,0,1,0
P0CJ85,0,0,0,1,0
P0CJ87,0,0,0,1,0
P01732,0,1,0,0,0
A5LHX3,1,0,0,0,0
P36551,0,0,1,0,0
O15031,0,1,0,0,0
Q6AI14,0,0,0,0,1
P34096,1,0,0,0,0
P36021,0,0,0,0,1
P50583,1,0,0,0,0
P06340,0,1,0,0,0
P21281,0,0,0,0,1
Q50LG9,0,1,0,0,0
Q9UL26,1,0,0,0,0
P33527,1,0,0,0,1
Q8NFF2,0,0,0,0,1
P35858,0,1,0,0,0
O95299,0,0,0,0,1
Q8N0X4,1,0,0,0,0
P29323,0,1,0,0,0
Q06418,0,1,0,0,0
Q9H0U6,0,0,1,0,0
Q8N141,0,0,0,1,0
P11215,0,1,0,0,0
Q9Y3U8,0,0,1,0,0
O14569,0,0,0,0,1
P36543,0,0,0,0,1
Q96A05,0,0,0,0,1
Q05940,0,0,0,0,1
Q9Y5W3,0,0,0,1,0
Q50KZ9,0,1,0,0,0
Q68DU8,0,1,0,0,0
O15056,1,0,0,0,0
Q9Y696,0,0,0,0,1
Q86XU0,0,0,0,1,0
A2RRD8,0,0,0,1,0
Q16363,0,0,1,0,0
Q9Y458,0,0,0,1,0
O94823,1,0,0,0,1
P41595,0,1,0,0,0
P56202,1,0,0,0,0
Q92908,0,0,0,1,0
Q9UKP6,0,1,0,0,0
Q3MIS6,0,0,0,1,0
Q76KX8,0,0,0,1,0
Q96SE7,0,0,0,1,0
Q9HCG1,0,0,0,1,0
